Country,Year,Series,Value
China,1995,GDP in current prices (millions of US dollars),734485.0
China,2005,GDP in current prices (millions of US dollars),2285962.0
China,2010,GDP in current prices (millions of US dollars),6087188.0
China,2015,GDP in current prices (millions of US dollars),11061570.0
China,2018,GDP in current prices (millions of US dollars),13894906.0
China,2019,GDP in current prices (millions of US dollars),14279966.0
China,2020,GDP in current prices (millions of US dollars),14722801.0
China,1995,GDP per capita (US dollars),592.0
China,2005,GDP per capita (US dollars),1718.0
China,2010,GDP per capita (US dollars),4447.0
China,2015,GDP per capita (US dollars),7863.0
China,2018,GDP per capita (US dollars),9733.0
China,2019,GDP per capita (US dollars),9960.0
China,2020,GDP per capita (US dollars),10229.0
China,1995,GDP in constant 2010 prices (millions of US dollars),1831413.0
China,2005,GDP in constant 2010 prices (millions of US dollars),4420545.0
China,2010,GDP in constant 2010 prices (millions of US dollars),7554111.0
China,2015,GDP in constant 2010 prices (millions of US dollars),11061570.0
China,2018,GDP in constant 2010 prices (millions of US dollars),13493439.0
China,2019,GDP in constant 2010 prices (millions of US dollars),14296365.0
China,2020,GDP in constant 2010 prices (millions of US dollars),14631982.0
China,1995,GDP real rates of growth (percent),11.0
China,2005,GDP real rates of growth (percent),11.4
China,2010,GDP real rates of growth (percent),10.6
China,2015,GDP real rates of growth (percent),7.0
China,2018,GDP real rates of growth (percent),6.7
China,2019,GDP real rates of growth (percent),6.0
China,2020,GDP real rates of growth (percent),2.3
India,1995,GDP in current prices (millions of US dollars),371783.0
India,2005,GDP in current prices (millions of US dollars),823612.0
India,2010,GDP in current prices (millions of US dollars),1669620.0
India,2015,GDP in current prices (millions of US dollars),2146759.0
India,2018,GDP in current prices (millions of US dollars),2761338.0
India,2019,GDP in current prices (millions of US dollars),2889949.0
India,2020,GDP in current prices (millions of US dollars),2664749.0
India,1995,GDP per capita (US dollars),386.0
India,2005,GDP per capita (US dollars),718.0
India,2010,GDP per capita (US dollars),1353.0
India,2015,GDP per capita (US dollars),1639.0
India,2018,GDP per capita (US dollars),2041.0
India,2019,GDP per capita (US dollars),2115.0
India,2020,GDP per capita (US dollars),1931.0
India,1995,GDP in constant 2010 prices (millions of US dollars),608291.0
India,2005,GDP in constant 2010 prices (millions of US dollars),1116782.0
India,2010,GDP in constant 2010 prices (millions of US dollars),1567418.0
India,2015,GDP in constant 2010 prices (millions of US dollars),2146759.0
India,2018,GDP in constant 2010 prices (millions of US dollars),2644070.0
India,2019,GDP in constant 2010 prices (millions of US dollars),2750932.0
India,2020,GDP in constant 2010 prices (millions of US dollars),2551441.0
India,1995,GDP real rates of growth (percent),7.6
India,2005,GDP real rates of growth (percent),7.9
India,2010,GDP real rates of growth (percent),8.5
India,2015,GDP real rates of growth (percent),8.0
India,2018,GDP real rates of growth (percent),6.5
India,2019,GDP real rates of growth (percent),4.0
India,2020,GDP real rates of growth (percent),-7.3
Japan,1995,GDP in current prices (millions of US dollars),5545565.0
Japan,2005,GDP in current prices (millions of US dollars),4831467.0
Japan,2010,GDP in current prices (millions of US dollars),5759072.0
Japan,2015,GDP in current prices (millions of US dollars),4444931.0
Japan,2018,GDP in current prices (millions of US dollars),5036892.0
Japan,2019,GDP in current prices (millions of US dollars),5148782.0
Japan,2020,GDP in current prices (millions of US dollars),5057759.0
Japan,1995,GDP per capita (US dollars),43885.0
Japan,2005,GDP per capita (US dollars),37650.0
Japan,2010,GDP per capita (US dollars),44803.0
Japan,2015,GDP per capita (US dollars),34730.0
Japan,2018,GDP per capita (US dollars),39598.0
Japan,2019,GDP per capita (US dollars),40586.0
Japan,2020,GDP per capita (US dollars),39990.0
Japan,1995,GDP in constant 2010 prices (millions of US dollars),3785636.0
Japan,2005,GDP in constant 2010 prices (millions of US dollars),4229101.0
Japan,2010,GDP in constant 2010 prices (millions of US dollars),4218908.0
Japan,2015,GDP in constant 2010 prices (millions of US dollars),4444931.0
Japan,2018,GDP in constant 2010 prices (millions of US dollars),4578914.0
Japan,2019,GDP in constant 2010 prices (millions of US dollars),4591291.0
Japan,2020,GDP in constant 2010 prices (millions of US dollars),4380757.0
Japan,1995,GDP real rates of growth (percent),2.6
Japan,2005,GDP real rates of growth (percent),1.8
Japan,2010,GDP real rates of growth (percent),4.1
Japan,2015,GDP real rates of growth (percent),1.6
Japan,2018,GDP real rates of growth (percent),0.6
Japan,2019,GDP real rates of growth (percent),0.3
Japan,2020,GDP real rates of growth (percent),-4.6
Republic of Korea,1995,GDP in current prices (millions of US dollars),566581.0
Republic of Korea,2005,GDP in current prices (millions of US dollars),934901.0
Republic of Korea,2010,GDP in current prices (millions of US dollars),1144067.0
Republic of Korea,2015,GDP in current prices (millions of US dollars),1465773.0
