Country,Year,Inflation Rate
China,1995,
China,2005,211.23331313777683
China,2010,166.2856162963339
China,2015,81.71888234764558
China,2018,25.61423016805029
China,2019,2.7712314138720995
China,2020,3.1010928177279906
"China, Hong Kong SAR",1995,
"China, Hong Kong SAR",2005,25.521251002405766
"China, Hong Kong SAR",2010,25.924028881582206
"China, Hong Kong SAR",2015,35.31637209749867
"China, Hong Kong SAR",2018,16.906388782944283
"China, Hong Kong SAR",2019,1.1103369717881506
"China, Hong Kong SAR",2020,-4.446990495149139
Japan,1995,
Japan,2005,-12.876920566254292
Japan,2010,19.1992411414587
Japan,2015,-22.818624250573706
Japan,2018,13.317664548673536
Japan,2019,2.221409551763265
Japan,2020,-1.7678549994930792
Republic of Korea,1995,
Republic of Korea,2005,65.0074746594044
Republic of Korea,2010,22.373064099835172
Republic of Korea,2015,28.119506986915965
Republic of Korea,2018,17.668629453537488
Republic of Korea,2019,-4.263330154137835
Republic of Korea,2020,-0.807098738329104
Singapore,1995,
Singapore,2005,45.545648138658294
Singapore,2010,87.63144717075613
Singapore,2015,28.43566519882572
Singapore,2018,22.06857814473424
Singapore,2019,-0.4181184668989535
Singapore,2020,-9.19075422411445
